ID,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,class
6,0.33673003830838055,0.28343004218715134,0.42465152683424334,0.5703867579148274,0.6269689262785139,0.43522202971630464,0.651439013295186,0.5214664170290813,0.349708479814645,0.5400384469206783,0.4195971499856135,0.42825603633672793,0.236349632892646,0.3498233215547703,0.48888888888888893,0.352112676056338,0.3014747138982613,0.39655081320172325,0.22580645161290325,0.4044471007148851,1.0,0.2372659231974954,0.2323159645256025,0.21999999999999997,0.13636363636363646,0.896551724137931,0.22089730990272494,0.31594974279484056,0.7435766042069988,0.21235915340741804,0.4838402412561013,0.15213795825633747,0.4878732027347816,0.09012120338065574,0.5946997065105649,0.1975435059109061,0.12530098913170445,0.49336974217173524,0.23354186075681904,0.36510337809790605,0.13109886034822002,0.5555995269106219,0.5167566369476345,0.8613470240939147,0.7614362008592197,0.6659319772860439,0.3916590628164772,0.5913930457318326,0.5640712218733788,0.3009102355730686,0.42708528254163514,0.4325787825243008,0.2875343784234022,0.564071221873379,0.4258512179680318,0.16203160686888196,0.3679726982706417,0.5008592463899137,0.1516609489292163,0.4980705474470952,0.44840450889766426,0.4487196276115931,0.18370092218202616,0.15153930406561006,0.3453676333372995,0.36150082122751337,0.467856544441954,0.4947103890733775,0.4463413875711148,0.5044474700641306,0.4649685675565907,0.14539436222266716,0.3799514362508041,0.49367804404501714,0.21125456350553157,0.5055766827612811,0.11473801042545989,0.09401007663569459,0.1407054224948324,0.17174014454778527,0.2028567625754523,0.13856827627890533,0.17501468979879586,0.3845431416881391,0.11166603944441966,0.7949782052027334,0.1866576540552138,0.11406059899209264,0.536439314834273,0.3467544859258936,0.2167551099850461,0.363705228692464,0.3645473584903114,0.1516940362594638,0.4993761023583879,0.37383873079023355,0.3536783766160074,0.22172697872154612,0.15081530442859345,0.19573666444811863,0.15104293187180254,0.06286777903116908,0.39377867827801727,0.01934158382449907,0.32631558869165656,0.05800436899948871,0.022417526358264224,0
8,0.130145084384218,0.18223083624666464,0.5928006694454219,1.0,0.449033610772227,0.9999999999999998,0.9902802850942186,0.8144431248411722,0.6964305917106393,0.6139826581660535,0.24396197789707197,0.8600879787272572,0.2289502469106135,0.697336712906891,0.4555555555555556,0.647887323943662,1.0,0.654818892036853,0.4193548387096774,0.31439630726287526,1.0,0.4559019691687959,0.4250219277831832,0.42000000000000004,0.0,1.0,0.4190807147749238,0.5943913051758924,0.6296486731667953,0.7060837325296908,0.25841594236873505,0.35509402119398675,0.8445265704416682,0.28235867289875716,0.5009399338355762,0.4276588147463517,0.2848018394647447,0.3878456176118017,0.42548100154246593,0.5863836461550287,0.3047140791589299,0.3498101893501758,0.3107267854664657,0.7005892046048476,0.5693852928555483,0.7833751443164447,0.27365241865747636,0.36566443357330103,0.8684461780345365,0.1334605775417238,0.6650485623312108,0.3234668318626899,0.1310238206918857,0.8684461780345356,0.6711934716413528,0.35743531327069555,0.5686480009354608,0.26750028694103095,0.35963524479279885,0.8789930630579693,0.248324438202298,0.6680681763611255,0.07795125046672008,0.10486307248464122,0.6525004015958098,0.7856979418025367,0.6607631905655182,0.6920236523257168,0.23871535454839626,0.6966904498534028,0.8514974757944531,0.10903104300253275,0.9555480741454208,0.2408529142374739,0.4760275180621007,0.8701953724099758,0.009509502551772875,0.01111966147925629,0.008045611303261284,0.13879440081627145,0.6781125298057455,0.2610894108584292,0.31076161881712583,0.6742656926885815,0.12361427602526931,0.9444334655895412,0.39182994795629367,0.009193267893372355,0.6255428942044547,0.8736145907502084,0.37633934549017056,0.20050996744931546,0.5407338235691783,0.3561539742753217,0.8791547438239516,0.19893781335547417,0.30447902801158294,0.05272434085190937,0.10302854970014633,0.3816861285657194,0.41388959886382937,0.10160698015754174,0.7604166014885538,0.0035353284609461223,0.5150043113611092,0.1786943075506624,0.002126670015109744,0
12,0.6241118439908708,0.5375490459944421,0.07577513567821934,0.0,0.09063568816465922,0.0,0.026039020933150137,0.0,0.007487184653121317,0.09416812503807903,1.0,0.005309433509292562,0.591719003512329,0.007607306259541362,0.6655555555555557,0.5084507042253523,0.005148173410839823,0.2781699425682054,0.17741935483870963,0.24955617857283063,0.6181818181818182,0.1719072004778085,0.4934894358292888,0.45999999999999996,1.0,0.0,0.16825794751778422,0.519024006012327,1.0,0.008347491024938584,0.5772781951005579,0.09533067499996872,0.0,0.06499700020104232,0.8029917325418778,0.18105297321804423,0.054920192127723096,0.8227409458578516,0.12387592715330176,0.2080049861856601,0.055622214926101504,0.7119697960080885,0.6819025288675716,0.7857727202843012,0.6671399464568193,0.17793647661315226,0.8783781232499548,0.7701666124693594,0.0,0.4143511670314896,0.28805181338478714,0.80104985546767,0.45565322429439165,0.0,0.3799276585934641,0.11905050171418928,0.006222759106082191,0.609639491197437,0.08876786096616174,0.0,0.45665848044084467,0.0,0.9519239717749672,0.6796987461783006,0.1201178394511313,0.0,0.4332762395879812,0.4664244012046739,0.4435482708726762,0.4742616962694228,0.0,0.627911690883408,0.0,0.8196696584719508,0.0,0.0,0.009905369522095373,0.0033073469004793977,0.035135670189708215,0.7011690490684502,0.0,0.14693644414299478,0.1861664309375639,0.0,0.5664153401932849,0.0,0.1780726315422523,0.008935550142334072,0.27747792062458565,0.0,0.2049384590015605,0.40290629797017163,0.0069071495877913325,0.09538865632681387,0.0,0.4050620315362063,0.06848496856513034,1.0,0.6885703017570619,0.18336431435304604,0.002299731115170456,0.2369001777262234,0.023847765426273947,0.9270319062363793,0.0,0.1001022898443985,0.46546149473351717,0
17,0.7039744225508586,0.7772102717617191,0.7102777646626881,0.42614231113322976,0.4232203712006653,0.5937700084112931,0.5223908722718017,0.5638659745960158,0.3940626008224492,0.7190315262468931,0.2738600291443748,0.5588776988424552,0.31356462513235694,0.3968031298853495,0.5111111111111112,0.352112676056338,0.2848798271686409,0.3674570242101476,0.20967741935483863,0.44639823962973924,1.0,0.2154568059205053,0.2697226236830919,0.26,0.045454545454545414,0.9655172413793105,0.2007275421607082,0.3379773613168552,0.6120771354876305,0.2525480027865644,0.5172141095907852,0.13655922925930708,0.711007772866669,0.07849992887815965,0.47806477005603487,0.17720707864664112,0.09567195442384865,0.5835717853202124,0.19091897288633736,0.3121862383135523,0.10026035903827485,0.6073159707094075,0.5703644143816792,0.9168700828124781,0.8401300009476893,0.625614940238463,0.4970883741263571,0.6588838194053359,0.7636537912063086,0.340325454607614,0.3820460766795566,0.5369779398791885,0.31719879801912787,0.7636537912063082,0.39582205807625703,0.13712725821862004,0.3436764470086639,0.5357231324221148,0.13508180713082082,0.6916777040138998,0.44725261496540236,0.6263885634649119,0.07751069012073036,0.07383581997295893,0.30867535941034063,0.3223211516002447,0.4457448195241356,0.4792769812860671,0.43834654186563865,0.48748320413133595,0.6415673603649064,0.07254815045566099,0.34209001038551046,0.5238654854640202,0.19563948556148864,0.6467077309864362,0.13968869718385982,0.1563010536725948,0.12457729230849925,0.0924744762567348,0.1899732715329892,0.22257614204310094,0.2685797639879657,0.5026323827155472,0.0713957694768062,0.6888877686119823,0.17818260057898624,0.13902117923072363,0.5123240119412982,0.3043365160776646,0.20108432997504022,0.38055241721415023,0.3415593942901496,0.13543281364042484,0.6949050900748713,0.3897551959146354,0.49617094696525726,0.15189379615111903,0.07317471931421307,0.19383910336591156,0.19313500080040705,0.03984820104226039,0.2794080039061236,0.023886932963703637,0.3388513320863278,0.03615338967402688,0.03564335688519943,0
27,0.773656457855783,0.22445223230017447,0.03406825130324698,0.07195000032637464,0.11205237571271592,0.15125700154002444,0.025903163180430344,0.04874530632558938,0.014597645836993736,0.24815469489825032,0.7456094627071669,0.024692974359950118,0.6632037001321929,0.014646206095718511,0.41111111111111115,0.23943661971830987,0.006295848739613696,0.3932532783916929,0.20967741935483863,0.600873880011114,0.8181818181818183,0.2301701130611451,0.08687847838600044,0.07999999999999996,0.0,0.8850574712643677,0.1982778158102798,0.20275857008856735,0.7716851019596566,0.003723812832192124,0.5134062982111476,0.15822890108424498,0.5705833888746126,0.09872859250660179,0.7028625959749533,0.18876526379064432,0.10850385760548592,0.5500781717449378,0.20488292624879006,0.338673980538184,0.12052165255369213,0.6024808195847146,0.5658337574413101,0.8837346104563011,0.7985890943027245,0.4645468746479803,0.6862976021884717,0.6309046189918446,0.6402208982048769,0.3673735125588307,0.37333526992504695,0.5759518804486923,0.4754579965316364,0.6402208982048772,0.39640816320111183,0.14931155868054213,0.019349841984295946,0.5244862676633455,0.15823236520452907,0.5401316252635278,0.37105456200534714,0.46006648374654846,0.14925939450341047,0.14491165789947358,0.2819793413555587,0.014432500989553133,0.5200812389957541,0.5567678962080818,0.3613962541263215,0.5625824461692508,0.5086119056534644,0.14341823548229254,0.02066112369929842,0.576748573409482,0.2210536562449285,0.4914175747684115,0.0070919548852325836,0.006566435138156792,0.0075437888885862125,0.20110253377457024,0.011448343338804358,0.134840856834622,0.1672000117096819,0.343417229887263,0.17756234763355366,0.5150568600393823,0.28221037311372676,0.0065422906787188356,0.2990846787463486,0.014758572813611436,0.2523676530756376,0.35277924760613566,0.019863333705813696,0.1563640317559518,0.5446598395979454,0.3247666837223185,0.34306062222815814,0.15257415040949734,0.14170212541642505,0.26527088731228743,0.19013315582894733,0.1009547551949474,0.011707447682202093,0.44540943326204463,0.3013027954001466,0.0562252520761276,0.5379937305197198,0
29,0.5413846711696741,0.6597984523826181,0.5654872736767858,0.3827737679568701,0.2664655315165144,0.4998942409251971,0.5504917109853648,0.470978452306397,0.24571877284188892,0.5278834396677572,0.4015430070765361,0.3418528659365102,0.31364297970926436,0.24587760911903872,0.48888888888888893,0.6338028169014085,0.3235207069024033,0.6123389872271914,0.3870967741935484,0.30726168903951856,1.0,0.41831673753331167,0.44308476077288145,0.42000000000000004,0.015151515151515138,0.9885057471264367,0.38948564809242125,0.5883225894077493,0.6749427544522741,0.24866067039177753,0.28880140573059615,0.31332955942996055,0.8624373351612615,0.25570150687821613,0.5709837694889963,0.4057235789902369,0.22853526968648039,0.505506350299302,0.36769848028223984,0.5230024993719478,0.2387954531650104,0.3975136906337501,0.35602976230593886,0.761784021355334,0.6320809323041585,0.7008634358763075,0.42810722715885885,0.42048544179708036,0.8801915918056791,0.15544179033697855,0.6187149402064731,0.44494946907971256,0.14887814026644636,0.8801915918056793,0.6531820766585028,0.31862399232088817,0.19250150348003983,0.3015563676137059,0.31487032344577004,0.8880219173072935,0.2662173095222642,0.6863248619255798,0.044871126736516054,0.07149557986367533,0.5909425719064396,0.25113543611548284,0.6371925223635886,0.6707218137846338,0.2544536871028667,0.6744581973327994,0.856183164783552,0.0755806431701066,0.3090111324277105,0.30988723013321484,0.3819873510752317,0.8766186683254598,0.0041286184086183515,0.0049288273219793765,0.0034754526872328765,0.0806215591925448,0.20215429756965442,0.211363455379461,0.25869350475662056,0.6675598778706833,0.06532030643257691,0.9264279462381131,0.35973478787210666,0.0037468747188405967,0.6022971309864795,0.27569689788719215,0.35582355688221334,0.2049682048148271,0.18359603559243842,0.31417940510330544,0.8884465672626912,0.2133185847587949,0.3313331769036566,0.0529398681039578,0.07103642947909186,0.3501058499054618,0.3909741782552225,0.06829093693860011,0.23470915088307104,0.03583119449997543,0.48498253513386236,0.14399208903517352,0.042114739946409165,1
33,0.5423416366868075,0.6619517208699732,0.6758128519116661,0.4741189335886288,0.3669802185887871,0.6196616044353097,0.44298482828600816,0.39485063124554576,0.21035098686217088,0.6383649800233746,0.08534554018861185,0.48894774567506455,0.6944089033460444,0.21222639813207805,0.4222222222222222,0.352112676056338,0.3855679520634562,0.47549467959743863,0.25806451612903225,0.5560001326886701,1.0,0.29168656239972457,0.2030181932468767,0.21999999999999997,0.0,1.0,0.25954560291952034,0.3295103724291166,0.4466694873024758,0.1315428994688161,0.43269621036567923,0.20996709891291554,0.6671167048988638,0.22535648797647426,0.0,0.3233416267179131,0.06191662326499075,1.0,0.12913374013392825,0.22707844656066056,0.06852637529126787,0.7179925041388223,0.690280964366952,0.9584885073475267,0.9188745178820952,0.09960628271462368,0.9145136890238299,0.7694808928564869,0.7102326571413444,0.35025565418428073,0.39680707713629726,1.0000000000000002,0.3439990809567905,0.7102326571413442,0.5607121374490456,0.1948342221647852,0.41816085627766403,0.444435367231707,0.21299091895884723,0.6477913840039046,0.5776196482468139,0.6532617318711899,0.2036919450570393,0.1580430492706743,0.5995281486510242,0.41628365678496465,0.31700452655016553,0.34954067913564124,0.5694182612541647,0.35716494314656977,0.5833672402437513,0.1489536848380562,0.3519130673239751,0.3797104698160302,0.33515461035103794,0.6287668756013156,0.20597218979483745,0.22254288108340284,0.19348936915239334,0.2512876544202266,0.20734656185973413,0.15031474201520667,0.1906630306815802,0.4715487403579175,0.17650404485154353,1.0,0.117873159537252,0.2049965991836993,1.0000000000000009,0.36386388023853244,0.12506939854853605,0.5403985576250818,0.42614550478562785,0.20955739977317253,0.6515018941911034,0.5351885485485259,0.6558583924450434,0.28971471308969,0.15272259991644202,0.1276721937030906,0.1379185633675268,0.06259011306929801,0.35074213423421535,0.018923744259639497,0.263628105602267,0.047084781108887315,0.028329928949862866,0
45,0.5517791941054223,0.6231007755454456,0.6106768071560388,0.4461033414012716,0.6664915569614378,0.4401467657261524,0.7254003435424418,0.5781222259666576,0.3985311368851518,0.6130313539599539,0.12298742610111635,0.7067954949898236,0.45987182530406434,0.3990188517315303,0.35555555555555557,0.43661971830985924,0.8732469829580476,0.5970123021339502,0.3709677419354839,0.3551712483508691,1.0,0.3998892301393534,0.17895859399672015,0.16000000000000003,0.0,1.0,0.3688113330736684,0.3675418277855922,0.7415497005118783,0.2691858376847589,0.3072647623021472,0.2991049916538328,0.6359809658082887,0.2798271448592726,0.6848489182779884,0.4210401074030019,0.1811150297126714,0.6687394806218361,0.3084450460872209,0.4634245886348769,0.1935133453397271,0.460666160031186,0.41886994393530785,0.8165570109715699,0.7004758384319913,0.6032952466763403,0.5674831987934786,0.4912191541074761,0.6843547654114168,0.17670050255570457,0.5917257844496662,0.608256563473657,0.16460029790012234,0.6843547654114168,0.668880571191889,0.3031013157267719,0.7835397420615683,0.31852554124402527,0.3022282144964987,0.6481455058370303,0.3347883708800621,0.5255833624433404,0.1796181152584584,0.17564366667499826,0.6364088095113187,0.9778296825257532,0.547540139297646,0.5869099391411989,0.32077045309891294,0.5922678595914075,0.6168795608637894,0.17358486413554108,1.0,0.27410389653300615,0.43617903116036055,0.6458449230243457,0.10973725593079191,0.11476789119791465,0.10672088567712995,0.26719136520169295,0.6816644933132836,0.24518991482668584,0.2934868646896929,0.5092666388567885,0.23933261976777126,0.964069849677684,0.26100573555850415,0.10936225070931652,0.7649262122540703,1.0000000000000002,0.2804482795048512,0.27709423651278553,0.7591267117568993,0.2994360984069788,0.6487470851286411,0.28590046994087087,0.3264739071793609,0.15014591958277668,0.1720960027662465,0.2713679318869311,0.24548927273663554,0.12071499021519277,0.9687299403296822,0.0007470904299413522,0.40721321473879857,0.11788964997852508,0.0,0
59,0.1618133625269229,0.16364965056208108,0.18998553550299882,0.37113646526311617,0.3876570295039012,0.19370157268423707,0.24345268624754623,0.3084032942861422,0.07037314769713753,0.21593701981512048,0.3488130061997241,0.15159139335739802,0.6593634656190975,0.07086006756259172,0.37777777777777777,0.5492957746478873,0.1925009978388707,0.6517902514996319,0.4193548387096774,0.31072508233698404,1.0,0.45283192845984743,0.26991447320832,0.26,0.015151515151515138,0.9885057471264367,0.41451839843883886,0.46817228262329147,0.7173962418109596,0.0584580021703608,0.2617063092010509,0.352495705818384,0.7002730646444262,0.32294567557457643,0.5971610614966947,0.46355579281335535,0.22391835717158118,0.5967248975980401,0.3625304063809265,0.5227262045724426,0.23644511548104388,0.4016397869216345,0.35882952787102784,0.7672578960623859,0.6377499582226616,0.6551945631107494,0.5345357709015,0.4171782776033204,0.7404562251718867,0.14645524487847772,0.6383904453455254,0.5391054273564161,0.16522077651349668,0.7404562251718867,0.7021092197547345,0.34575839592573426,0.13526459249052522,0.2708002454655872,0.35586040296219135,0.7385817214999367,0.2658598877167455,0.5630066356660282,0.14327159305307285,0.15541188740074102,0.6667677499700542,0.18335241076347827,0.6319847074832783,0.6666291843661449,0.25592105652241576,0.6725224709282642,0.714571233169826,0.15643833897815168,0.21867858172496996,0.25585173554080354,0.4558294772271702,0.76023708155496,0.010396522942943982,0.010712513171931544,0.010317630195435457,0.1937351761740527,0.16307417421696419,0.3204357537967224,0.3724818091365725,0.6278568561066336,0.16674265719604997,0.8261666121760252,0.3681473210715297,0.01004411739581196,0.7010173910407298,0.19867909911941486,0.3427995136372447,0.2330883584796443,0.12961172708570895,0.35270033331071693,0.7380468777906689,0.22237198170027578,0.28211084130084163,0.09792591223235529,0.1534080061957991,0.3669284153171454,0.35954951088008613,0.12013568353236603,0.18046289837036583,0.05575300343746733,0.456445053792087,0.15832385608421656,0.062464740146582744,0
65,0.5623693840770142,0.37884901425648926,0.4039519166246188,0.43805518205256433,0.44955152179199737,0.44067219439562955,0.5449856129880968,0.4604417524595009,0.12477679141669479,0.6124898763105016,0.30851166466073054,0.23996929957118918,0.5481436877146563,0.12533556418484434,0.4222222222222222,0.5633802816901408,0.15197927056761995,0.6296183737500254,0.4193548387096774,0.2984072018154942,1.0,0.43881857778345024,0.30907895608077235,0.28,0.015151515151515138,0.9885057471264367,0.4120611642006189,0.4866824239178078,0.7716475467790372,0.10669429587444643,0.2732560564103201,0.330817346754641,0.7299600258715908,0.2668478761364048,0.7545409202333963,0.41939944972448095,0.28792864832743215,0.3749296889829724,0.42987849345516016,0.5914103169125964,0.30764692211087086,0.3416570216776508,0.30172868636204475,0.6970601685004016,0.5640487656428332,0.7707899173762655,0.3705153802476958,0.35864728922783584,0.7749122272086932,0.13219914619967624,0.6606381255318767,0.32157111943406125,0.12809571200270042,0.7749122272086926,0.6628618581293195,0.3547729938044107,0.10710502839033884,0.2868691419211636,0.3309622209458303,0.7685838599111671,0.18935102115220692,0.5445583263997474,0.0921935647167017,0.12274716536321761,0.5498752871884367,0.14599978774635516,0.7302446536813685,0.7582946076272119,0.17976070253309095,0.7617094152419108,0.7565175088349056,0.12750256324994513,0.22804358881222656,0.3365954565009587,0.3517442965621604,0.7744819444042477,0.0011534805399348314,0.0011949358154363452,0.0010497359202357131,0.13352116964129937,0.16202537438361814,0.3570627694767763,0.41617429557374175,0.6563052307223904,0.1288080841619309,0.734680901615099,0.5108943719700076,0.0009554819025673587,0.44632651174964266,0.1741666417984658,0.4454471354275157,0.16020943924467054,0.1005049354356903,0.3312038302952701,0.7676340857155352,0.15043857517973463,0.19233053207500583,0.044957788346849506,0.12209992572464909,0.4863838648550859,0.4664294235701558,0.12870403157284263,0.14441667149355197,0.06947344774461475,0.5123418250752284,0.16479418982416644,0.07706094160144308,0
