ID,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,DEFINITIVE DIAGNOSIS 
6,0.5213996547247249,0.37511032416044743,20.59331854828767,54.89936485853482,64.28892958577826,42.12580866278016,61.584171411630045,64.29256386006234,13469.603459040323,28.624509881846752,0.31991847486239344,8557.521731775727,0.6353209846004947,13520.870208740234,1.0,71.0,59389285.0,3.529967756415416,37.0,3.164302906965854,149.0,22.068987419827902,35.75082976075232,36.0,-70.0,219.0,15.396924434578223,45.31321450063528,0.0519618464610671,27752637.52937317,0.10189408153530641,775.1655797982901,126.51582952469526,1321.535688365738,0.9875288897654804,20.299907682800374,10.078812143278153,0.3342532247264251,2.4667810363801146,2.7982923294236532,3.802569874087159,0.4097698690391737,0.3271752825294313,0.9804577257106172,0.9047923354431221,-0.04280909394449516,0.4061464620145925,0.33012260836503327,11.133755901151353,0.0119972683817935,6.865960267161416,0.33702396240896726,0.024721909431119626,22.26751180230271,4.209130164864537,7.594679956519632,2554.663352280761,0.09947703780466247,8.157788725630805,131.8824691456212,1.4377856432417642,188.45298228036967,0.015167534261015473,0.01098180205244829,4.113685559846484,20743.860353327844,0.8043584889141167,0.8880035743540101,0.15818267759250157,0.9153473569646327,120.93481120975373,0.010164163958341977,412.06493506493507,0.07135323550907967,15.039353835197991,139.24121212121213,2745.315670995671,342585.09367965366,22.801357644099976,0.014411774778619432,1856.2107359307358,0.3214217724555387,0.5852100623694861,83.0545650169386,0.008807210040430022,6.3337921978452805,0.19966118102613747,2720.2307505181684,6.40196447809867,4157.843313511271,0.14375063315970374,4.359754501666282,2947.1844143272024,7.8326968729594135,131.58332180887845,19.662771400912735,2535.7311575162494,0.18380238377902564,0.010824254652708006,0.19193441948466028,26.420099900877215,0.0025872979598683976,12.959194696911734,0.00025965776319115686,339.6357729668496,0.05576268783379896,0.044607886335355236,0
8,0.37404256058339913,0.3139821141386935,26.364129901996836,83.9669800119607,49.90052604933138,79.00385062575297,82.45172186187673,86.97101583760647,26418.30325126648,31.40722420812887,0.25910908809564265,16555.339553836548,0.6266617275294882,26526.775360107422,-2.0,92.0,192025515.0,3.919400308177223,49.0,2.9393080149203294,149.0,29.1459793139291,45.407494642888764,46.0,-79.0,228.0,20.446259695342732,58.315245967344794,-0.05347317916754036,89733602.85758972,0.07688665035307524,1338.827342487951,176.70721804019948,3394.3789590903134,-7.935001068542665,33.389569345747084,18.8506698277362,0.27649686940079893,3.390976232681168,3.220240846487961,7.038699339844518,0.3462168825897815,0.25504727984591946,0.9678686739249728,0.8800020542799026,-0.029340191408892827,0.3393201677986593,0.26185347257257513,13.155654781327833,0.006693652335487054,7.678402869961028,0.2780349641811907,0.013885372279725756,26.311309562655655,4.567197678844485,13.060059793370819,3915.426127487823,0.0755108806194183,13.892313847627934,185.0711861028165,1.2915461646997894,238.13495326978287,0.011478210212329297,0.009367390298319926,4.373367241162618,44225.00675418423,0.8514056863780467,0.9183457730927935,0.10201702917346103,0.9381786169204722,173.79201309618296,0.008914064652545193,1009.1991331984975,0.05831835499557917,21.712723599182233,189.1313493210055,231.50863912164115,41155.4123663681,1.3700035831848845,0.013035938725926897,6051.184917653857,0.3496784118840715,0.6122443444449986,115.37112254496188,0.009224180511084756,6.485938213620436,0.30646218145111304,220.86117408317767,6.472619388988969,10252.559424088406,0.18156727688895116,2.8498339426119,4341.558485487099,13.490216614271663,184.83459365647192,12.603024775532612,2288.5846069385657,0.09028304898632801,0.00919507251839213,0.272277850337198,51.02597932866289,0.0035231625425961076,24.5527339246461,0.0001317895604662419,468.934795516325,0.12034794320875997,0.021178646339273452,0
12,0.7263891614145723,0.5286079696299792,8.620020273554632,16.30701913099904,20.91935431043762,13.707320124663317,23.0688930840862,23.927405875964176,688.9913736979166,11.845241951737782,0.520868779789113,724.2663705634114,1.051198023969689,713.22265625,16.900000000000006,82.10000000000002,3122696.0,3.35146577220379,34.0,2.7773028043542594,128.0,19.953402366863905,48.83846153846154,48.0,-13.0,141.0,14.055773853550297,54.79591506391975,0.28926982757123965,2141516.861328125,0.1122596153846154,617.3969822485207,57.85803548168686,1050.6283796931439,20.80937560843675,19.36187581224073,6.208172370834452,0.5145274544673225,1.9387348618511309,2.4987290918942784,2.3957105106039234,0.45806098903036424,0.3849904158702468,0.9745394517047424,0.8926204030967815,-0.09877457923044843,0.6817718843357751,0.38419070716295967,7.386749293808453,0.015590271505623164,6.391278990041965,0.5362298178358618,0.0363621856242162,14.773498587616906,4.142106509166578,6.392512045768797,101.66667251120413,0.11064885847040176,6.423622532512969,62.33621685755453,1.4438185104342833,86.81895894869268,0.041968787878600436,0.029249489535348283,3.9232361801722204,733.2254490492177,0.7959248425700417,0.8836538461538463,0.15742710177094413,0.9117624185225081,57.35111301179552,0.026752159513481567,17.896551724137932,0.0881603533208765,9.714868111334903,70.06403940886699,240.9655172413793,12746.054187192118,5.746435588565062,0.03652107606236298,65.64039408866995,0.3233516950180786,0.5874309547149612,40.161422879885635,0.02467708578988408,5.524501402481904,0.1951923076923077,214.71882355796066,6.196620379003635,146.58846153846153,0.14095044378698224,4.722451923076923,116.75,6.274695821005916,61.5625,20.923076923076923,1103.0990384615384,0.6144677044777885,0.029157804174226056,0.18658868181844043,12.495794504866124,0.006791585953690016,1.26152711211178,0.0076026196151953345,116.02788552356658,0.07829070467731199,0.5561773976626693,0
17,0.7833551566803906,0.6733725614726119,30.39589684622807,45.139791231995964,47.81318713922342,52.47844158952359,53.636737561502144,67.57458698514833,15126.054483572641,35.360488233060316,0.26946055779416545,10976.722716659682,0.7256831402121908,15279.118801116943,3.0,71.0,56238242.0,3.486098345458742,36.0,3.2691192179555464,149.0,21.363051920943963,37.625310268453816,38.0,-76.0,225.0,14.88303721214973,46.34181018409133,-0.06973482377585859,32797846.508796692,0.10559640963295953,731.8993983409351,157.91728234914686,1196.2267113482587,-10.111887043209814,19.143109581580998,8.449343239240962,0.383623369012455,2.2615500029330624,2.69738722452958,3.227750549764456,0.4257412234879413,0.34594257225382,0.9848057733746557,0.9149502745555894,-0.04743283031204026,0.4658503051904418,0.35053445048196674,12.459540974031446,0.013245662619189715,6.712189611155281,0.3934650916422617,0.026775825727137565,24.919081948062885,4.1653037694175,6.898113205205491,2389.912464377039,0.1030575875924635,7.700648073949439,158.91609364798234,1.4369437184693257,228.69461126358087,0.011462840236678375,0.008294236801207019,4.082662131644108,18575.096083528013,0.798965752534208,0.8856302745637148,0.15601996376263655,0.9133326380610025,145.08440997307454,0.007659854651246676,372.7868179151183,0.07290960647665135,14.645789510667369,158.5519264619597,3341.363387443771,569105.2446704479,20.195838570469633,0.011101588034488411,1742.4911011148054,0.34079622552607186,0.6038437406879453,96.22660750353472,0.007401855090503601,6.225791735383442,0.19524955130408217,3315.1320816092584,6.382842187063459,3667.152365677626,0.14003713161788775,4.515628612944909,2765.253179058311,7.382739835517922,158.99973269179364,20.305227784778708,3251.5241150189026,0.14515947936778822,0.008177273185040343,0.19111453775862125,30.360467054000384,0.0020311892347844424,9.34265419225813,0.0002964283715243303,348.2258961333595,0.04406949205568062,0.05987935405079302,0
27,0.8330593681504882,0.3394854601519852,7.1886566748982235,21.17515333846673,22.651174337162722,23.58387753922489,23.06052628008418,27.700634460895166,954.5389811197916,17.640159860632792,0.43279227217341165,1083.2625754570142,1.1348542038442622,976.6578674316406,-6.0,63.0,3340617.0,3.5249955298770628,36.0,3.6550817253241585,139.0,21.839304383831063,28.46282973621103,29.0,-79.0,218.0,14.820622855869905,40.027670285556326,0.07797495978520279,1561071.7105865479,0.10517399030415955,792.0817118966696,138.15553199946814,1414.3467759905943,11.280713206333504,19.8005744575093,9.15504247717631,0.36529136147522046,2.3287870373707813,2.747895404270124,3.6054142673161325,0.4242480057267533,0.3443564562924499,0.9822109124916236,0.9095880986293812,-0.06590482942353096,0.5729980987147782,0.3420724490806932,11.639602200867735,0.01410235301711604,6.682449600350352,0.4145355032446894,0.03773343592984705,23.279204401735473,4.166159167139847,7.238904233671406,190.68034529767027,0.10190355233401874,8.33898396209695,137.75551332444877,1.3812501979099574,191.02302060764217,0.013965961203840525,0.010752568682263857,4.060090567912177,1532.1268376461387,0.8170953518814622,0.8975465781221176,0.13520387079014506,0.9222516129922776,126.90296697668163,0.010096228612524016,39.33076923076923,0.07563609467455622,15.286331360946747,137.30384615384617,173.75576923076923,24597.676923076924,1.288933560937724,0.015637967576712486,166.69230769230768,0.3205621301775148,0.5836537530421355,78.46725246561637,0.0111068644249165,6.048831218306648,0.24940047961630696,157.67875369822485,6.213753513054053,317.315587529976,0.15218973023020432,4.2586647804058915,219.28776978417267,7.9619182351960145,137.93285371702638,17.682014388489208,2482.3942446043166,0.14553596034151123,0.01051356127087413,0.2219781631065248,30.079455176338328,0.003507406042082022,0.8776354274476341,0.0037064279749437286,322.4957463766548,0.054810622382307564,0.639928183284916,0
29,0.6673798504173448,0.6024513097953736,25.426745078248597,42.205477297219176,35.13750281400069,46.34867967455452,55.367328603249014,60.38444129305709,9585.999123255411,28.167085125410775,0.3136676690252413,6957.276941443666,0.7257748359861075,9630.637168884277,1.0,91.0,63575386.0,3.855346485485547,47.0,2.9214819348224825,149.0,27.92938953139547,46.3126390507469,46.0,-78.0,227.0,19.692233828035615,58.031862866398356,-0.011555603928914618,32309840.3924942,0.0802574599229061,1222.836571899698,179.22777786676392,3106.9421376382747,-1.269368205087901,32.141826133887,15.756251575689287,0.3408959356172936,3.1127509141751166,3.0993824385975093,5.809998253715988,0.3609489382278588,0.27090718175604267,0.9726608807335335,0.8880949216648836,-0.03880299956646378,0.4267867892718683,0.2784334834933006,13.23367709712739,0.0073898610603586636,7.520212881197036,0.3437119044984336,0.015121576406699004,26.467354194254785,4.5409107456796525,11.974519427394073,1364.807566235303,0.07900846813198804,12.657999938869015,186.33189701759386,1.304624149740261,242.27005299005395,0.010324132908525322,0.008213293867042417,4.321319910613853,14634.658664524417,0.8456571344046604,0.9150700449037138,0.10627446086488869,0.935538258675619,174.43277347294992,0.007764105778989251,338.47020109689214,0.06187755047475176,19.342523787720292,190.01023765996345,102.96453382084096,18642.54204753199,0.6316888928887652,0.010606602376875579,1850.0102376599634,0.3382102811078544,0.6018748716854228,114.6231350321274,0.00718983311823549,6.46760852737057,0.289755270685454,91.05383314004592,6.45418660166042,3335.8493484479286,0.1767056546481581,2.8910825928732633,1515.1003284246212,12.328757034325298,186.137461595508,13.18349401419642,2423.48294310838,0.09040231319128565,0.008104372992985767,0.2586329175761139,48.88079680462701,0.002718311023239218,7.929221829834691,0.000393054120026479,448.3623613694138,0.10177761603977034,0.0673516649421376,1
33,0.6680624541361518,0.6037519667235088,29.21307481859454,48.38588763052893,43.265433319648075,54.16907297902768,48.74651382892558,54.49161402027982,8265.152176221212,32.32479483600723,0.20419202226263544,9681.57298169116,1.171372622701973,8371.219635009766,-5.0,71.0,75356939.0,3.649004191251221,39.0,3.5429631803623978,149.0,23.83051956241219,34.28269273868221,36.0,-79.0,228.0,16.381609246224826,45.946437973832005,-0.22281194425314735,17607164.435386658,0.09622042151202213,935.7721410682979,151.74054649243402,2779.740222277217,-55.60631510270253,27.455689049679073,6.592945857038932,0.6115463774710727,1.964051456891905,2.53509934031805,2.6362397330685905,0.45992095462799265,0.3879235821752187,0.9880649398859573,0.9251147602909472,-0.1077578327810021,0.7022351893240136,0.38398331880878034,12.104675604994581,0.013560180823866948,6.762585897681526,0.6437878777190543,0.02863143384668723,24.20935120998916,4.40595445195173,8.5121587266795,2894.985137100668,0.09368225897936942,9.848854693210473,152.78818847660867,1.532229605263944,234.78132567662604,0.01586496774004486,0.011206750004527451,4.328579041629876,23776.327382417563,0.7675678193534563,0.8656798434644692,0.19147663555701394,0.8978557135106363,137.12563785152022,0.010286526460611598,382.9774320396649,0.06547742042052743,18.16214569194097,156.09711061719952,4924.811762694478,809992.6004445205,31.328668510817987,0.017733731413634855,1895.841169430672,0.3241308205557654,0.5883264618674213,92.75944102663418,0.011069931693787186,6.542505154115564,0.16385589421783953,4887.566086511684,6.76954610763746,4355.764735544599,0.12202388882632785,5.994562326175457,3434.684166293142,9.433808193614045,152.9138839085612,26.1755378753922,4053.693298969072,0.2214240905897556,0.01088927961101124,0.1625257136044473,25.191487673536958,0.0025805900843317684,11.59832657604519,0.00025627755750947767,296.679150149788,0.04991924818199408,0.05143475933318975,0
45,0.67479426596747,0.5802845024952022,26.977631801911006,46.49035375907537,67.48485253940787,42.447376837857,66.13908227625859,68.6781208274914,15292.936635017395,31.371424139423276,0.21722460549675823,13716.259721908618,0.896901625192212,15362.043571472168,-11.0,77.0,167957607.0,3.8322359636090866,46.0,3.0411855566562047,149.0,27.332912770776357,33.0770451124761,33.0,-79.0,228.0,19.165491703064756,47.72234446940374,0.0500860409312859,34886519.24571991,0.08230569128542997,1183.3312482836504,147.3588523352748,3367.0821949659708,9.566464394450966,33.01307705495185,13.148343244513857,0.4302380715045989,2.827443086791781,2.985776235450615,4.965954946862973,0.3804520285212615,0.29290659959093723,0.9769501899871978,0.8969234607781096,-0.049992551620772714,0.5057143763875319,0.29982611672949694,11.932774207553836,0.008063186097701774,7.428067824321816,0.4320003261000559,0.01621015309933124,23.86554841510767,4.5638220902468305,11.54035507486643,5372.589406380459,0.08075121622911872,12.309416037846102,152.83763497866246,1.354743065738157,205.86245166514013,0.015025096014873089,0.011815510451869182,4.359761751552219,54860.33008230505,0.8237921885670059,0.9021817244979593,0.12421404247224019,0.9257771273776704,141.70839339436318,0.01113329789955364,1055.3143523522385,0.06003267264077811,20.7083774865819,158.43386995847317,2625.8524944536093,418070.55742647476,17.311114332320994,0.01839788089658632,6082.537288810512,0.3460115642989085,0.608804041380735,96.9666131382488,0.013262528088754348,6.5059281262906845,0.23836255406852974,2608.252037658473,6.583143747112403,11714.585458785881,0.15884399054612106,3.558409433580335,6069.962426609174,11.92080157128383,152.52761393374826,16.11320831468901,2399.0730314987322,0.1441922740269035,0.011549772293202455,0.22461252121834985,35.2615103791243,0.003984775310526588,31.139856294221904,0.00010923349151799894,395.07090351671496,0.08780932081466185,0.018723044597591075,0
59,0.3966315505118783,0.3027583638095813,12.539675537837168,41.41809785219987,44.937424618547695,26.35536077354864,36.45832054501264,47.799983841003495,3037.533415476481,16.427724370370733,0.2954111946562424,3433.506588048586,1.1303601042064555,3080.496650695801,-9.0,85.0,38697317.0,3.9148335370218446,49.0,2.930135337765453,149.0,29.04660570371187,37.63492401647493,38.0,-78.0,227.0,20.330020574507103,52.42135681914228,0.02773313314213096,8432266.775794983,0.07725166700181083,1331.6111450339936,156.40660010199093,3832.017342420835,1.2217606180984977,35.43149910694913,15.50234133359511,0.3908224415423068,3.087866416650681,3.098855585562002,5.766188747350899,0.3622231818042335,0.27188733825637584,0.9730895435032466,0.8888266898606297,-0.04404050815673282,0.48705649042137406,0.27743326806082724,12.305444417010559,0.007105231116918315,7.587388029483376,0.3946152713820869,0.016253114032081926,24.610888834021118,4.61231801545201,12.733460110136063,976.6887653260475,0.07584978907569132,13.788229228808582,165.4653639273182,1.3043629084368324,214.33874195827306,0.013757062778614576,0.011115744828960395,4.385430327217403,10882.574870023776,0.844387022151127,0.9144406935203697,0.10667140412734666,0.935308366937602,155.06757128675878,0.010543834130684842,244.75760502172864,0.0590916477599538,21.20364972029878,174.08594881699662,252.69869628198938,39674.82399806857,1.7370510022480483,0.015330301849616614,1505.0589087397393,0.3633652604393383,0.6245360481830988,110.19453607618243,0.010729278043567528,6.365542113151569,0.2941343559153529,241.14000961986608,6.5324670840664325,2444.907683567675,0.17361934977756532,3.1512568027053427,1087.8579747195001,13.39465245570706,165.04892770913222,13.548927709132226,2176.2209203238176,0.11529579991359273,0.010912646999556914,0.26590146565894734,45.93903769716102,0.003970780375390305,6.21388902695251,0.0005542160046901997,428.807040885426,0.10944702780638935,0.09084919656657453,0
65,0.682348250858312,0.4327470507583272,19.88291620094252,45.945815612378084,49.942405946681866,42.48168550699966,55.02823538378389,59.56882682573605,5069.294373194377,31.351046917364705,0.2814578398940873,5070.324812935371,1.0002032708430668,5119.27604675293,-5.0,86.0,31003037.0,3.881401411114825,49.0,2.899358705023852,149.0,28.593010009070195,39.59749061269347,39.0,-78.0,227.0,20.267414931562364,53.28570134266273,0.0779402042042409,14487732.057571411,0.0785329375211539,1271.4047047571012,160.5844095374591,3227.130343235062,16.198615449862757,32.91975143474328,19.022630806581933,0.2694276142294527,3.4121503448755295,3.2298259590266833,7.0933665490916695,0.34369897684814216,0.25189717848107185,0.9675923127600013,0.8793132056229838,-0.030783520972730564,0.3941729501651589,0.25973121445201663,12.534328398834251,0.006653699148447729,7.663344972137873,0.277010088570273,0.013682634783587591,25.068656797668496,4.555038011714061,12.985595560331303,785.741069796255,0.07750007796606545,13.10170568669483,169.65460237521208,1.248442212730607,210.1602398847642,0.011975086577230558,0.009985955439017126,4.286597397600578,8814.945536915315,0.8683512306658279,0.9285367073626071,0.0860689989117828,0.945900432835269,160.80365651598706,0.009549079143343266,254.47303007705693,0.06325454389188588,18.580274161824544,176.03504847129008,31.891374596072584,5064.304747700721,0.2398113949633228,0.012815725103680784,1495.8013919960229,0.37181242654636415,0.6332374973537349,113.36775656479901,0.00940543442320642,6.272409316579674,0.36844033336386117,24.524798713635718,6.330509300685784,2161.3476508837807,0.1979437357710212,2.4769640711866407,857.5011447934793,12.799832309720143,169.19754556278048,10.645388771865555,1725.2211741001922,0.08598534787904695,0.009845268273942023,0.3175147397033435,55.94439281541287,0.004177775182469778,5.0740632782991755,0.0006652105770155118,467.1103257258391,0.11290952154839005,0.10770299027215434,0
